league,lat,long,team,rank,color1,color2,class
American Football,35.12110, -89.97743,Memphis Tigers,15,#003087,#898D8D,ncaa
American Football,38.98478, -76.50707,Navy Midshipmen,15,#00205B,#C5B783,ncaa
American Football,32.83778, -96.78270,SMU Mustangs,15,#0033A0,#C8102E,ncaa
American Football,27.97587, -82.50333,South Florida Bulls,15,#006747,#CFC493,ncaa
American Football,39.90137, -75.16752,Temple Owls,15,#9D2235,#FFCD00,ncaa
American Football,29.94462, -90.11669,Tulane Green Wave,15,#006747,#43B02A,ncaa
American Football,36.14896, -95.94380,Tulsa Golden Hurricane,15,#002D72,#C8102E,ncaa
American Football,28.60821, -81.19262,UCF Knights,15,#ffc904,#ba9b37,ncaa
Independent Football,41.38755, -73.96407,Army Black Knights,16,#D4BF91,#B2B4B3,ncaa
Independent Football,40.25729,-111.65462,BYU Cougars,16,#002E5D,#0062B8,ncaa
Independent Football,37.35435, -79.17514,Liberty Flames,16,#002d62,#c41230,ncaa
Independent Football,32.27949,-106.74171,New Mexico State Aggies,16,#861F41,#97999B,ncaa
Independent Football,41.69840, -86.23392,Notre Dame Fighting Irish,16,#0C2340,#c99700,ncaa
Independent Football,41.75997, -72.61857,UConn Huskies,16,#000e2f,#ffffff,ncaa
Independent Football,42.37727, -72.53604,UMass Minutemen,16,#971B2F,#572932,nca
