league,lat,long,team,color1,color2,teamID,metroID
NCAA,40.43436, -86.91844,Purdue Boilermakers,#ceb888,#9d968D,176,2200
NCAA,29.71629, -95.40931,Rice Owls,#00205B,#C1C6C8,177, 114
NCAA,40.51361, -74.46528,Rutgers Scarlet Knights,#cc0033,#5F6A72,178,   5
NCAA,32.77724,-117.07169,San Diego State Aztecs,#a6192e,#A6192E,179,  23
NCAA,37.31967,-121.86829,San Jose State Spartans,#0055A2,#E5A823,180, 298
NCAA,32.83778, -96.78270,SMU Mustangs,#0033A0,#C8102E,181,  66
NCAA,30.69668, -88.19182,South Alabama Jaguars,#00205B,#BF0D3E,182,1376
NCAA,33.97309, -81.01919,South Carolina Gamecocks,#73000A,#73000A,183, 964
NCAA,27.97587, -82.50333,South Florida Bulls,#006747,#CFC493,184, 170
NCAA,31.32902, -89.33122,Southern Miss Golden Eagles,#FFAB00,#000000,185,3237
NCAA,37.43453,-122.16112,Stanford Cardinal,#8C1515,#4D4F53,186,  99
NCAA,43.03623, -76.13629,Syracuse Orange,#F76900,#000E54,187, 879
NCAA,32.70965, -97.36736,TCU Horned Frogs,#4d1979,#a3a9ac,188, 710
NCAA,39.90137, -75.16752,Temple Owls,#9D2235,#FFCD00,189,  67
NCAA,35.95502, -83.92501,Tennessee Volunteers,#FF8200,#58595b,190, 988
NCAA,30.61009, -96.34010,Texas A&M Aggies,#500000,#500000,191,1872
NCAA,30.28354, -97.73252,Texas Longhorns,#bf5700,#333f48,192, 406
NCAA,29.89102, -97.92555,Texas State Bobcats,#501214,#8d734a,193, 406
NCAA,33.59106,-101.87289,Texas Tech Red Raiders,#CC0000,#CC0000,194,2046
NCAA,41.65728, -83.61358,Toledo Rockets,#15397F,#005CB9,195,1034
NCAA,31.79951, -85.95185,Troy Trojans,#8a2432,#b3b5b8,196,6481
NCAA,29.94462, -90.11669,Tulane Green Wave,#006747,#43B02A,197, 517
NCAA,36.14896, -95.94380,Tulsa Golden Hurricane,#002D72,#C8102E,198, 845
NCAA,33.52779, -86.80920,UAB Blazers,#006341,#CC8A00,199, 684
NCAA,28.60821, -81.19262,UCF Knights,#ffc904,#ba9b37,200, 249
NCAA,34.16133,-118.16765,UCLA Bruins,#2d68c4,#f2a900,201,  23
NCAA,41.75997, -72.61857,UConn Huskies,#000e2f,#ffffff,202, 304
NCAA,42.37727, -72.53604,UMass Minutemen,#971B2F,#572932,203,2581
NCAA,36.09087,-115.18332,UNLV Rebels,#CF0A2C,#CAC8C8,204, 260
NCAA,34.01405,-118.28788,USC Trojans,#990000,#FFC72C,205,  23
NCAA,41.75174,-111.81159,Utah State Aggies,#00263A,#8a8d8f,206,2945
NCAA,40.75975,-111.84903,Utah Utes,#CC0000,#808080,207, 340
NCAA,31.77334,-106.50793,UTEP Miners,#FF8200,#041E42,208,   5
NCAA,29.41698, -98.47881,UTSA Roadrunners,#f15a22,#0C2340,209, 392
NCAA,36.14387, -86.80894,Vanderbilt Commodores,#866d4b,#866D4B,210, 502
NCAA,38.03113, -78.51393,Virginia Cavaliers,#232D4B,#F84C1E,211,2672
NCAA,37.21999, -80.41806,Virginia Tech Hokies,#630031,#cf4420,212,1591
NCAA,36.13146, -80.25545,Wake Forest Demon Deacons,#9E7E38,#9E7E38,213, 768
NCAA,47.65032,-122.30161,Washington Huskies,#4B2E83,#b7a57a,214, 130
NCAA,46.73184,-117.16047,Washington State Cougars,#981E32,#5E6A71,215,3186
NCAA,39.65015, -79.95508,West Virginia Mountaineers,#002855,#EAAA00,216,2322
NCAA,36.98473, -86.45942,Western Kentucky Hilltoppers,#c60c30,#1E1E1E,217,3197
NCAA,42.28553, -85.60092,Western Michigan Broncos,#6C4023,#B5A167,218,1624
NCAA,43.06994, -89.41269,Wisconsin Badgers,#c5050c,#ffffff,219,1086
NCAA,41.31170,-105.56828,Wyoming Cowboys,#ffc425,#492f24,220,5536
NCAA BB,34.78565, -86.75545,Alabama A & M Bulldogs,#660000,#ffffff,221,1399
NCAA BB,32.36167, -86.29347,Alabama State Hornets,#C99700,#000000,222,1891
NCAA BB,42.68152, -73.82604,Albany Great Danes,#461660,#eeb211,223, 628
NCAA BB,31.87435, -91.13406,Alcorn State Braves,#ce8e00,#4b306a,224,5657
NCAA BB,38.93777, -77.09004,American University Eagles,#143d8d,#c41230,225,  61
NCAA BB,34.72949, -92.34024,Arkansas Little Rock Trojans,#6e2639,#A7A9AC,226,1019
NCAA BB,34.24146, -92.02375,Arkansas Pine Bluff Golden Lions,#EEB310,#E31837,227,5041
NCAA BB,36.53666, -87.35668,Austin Peay Governors,#C41E3A,#ffffff,228,2259
NCAA BB,36.13229, -86.79459,Belmont Bruins,#C8102E,#00205B,229, 502
NCAA BB,29.21063, -83.03105,Bethune-Cookman Wildcats,#F2A900,#6F263D,230,   5
NCAA BB,42.09363, -75.97018,Binghamton Bearcats,#005A43,#169B62,231,1749
NCAA BB,42.35408, -71.12048,Boston Terriers,#D21240,#D21240,232,  85
NCAA BB,40.69276, -89.59380,Bradley Braves,#A50000,#999999,233,1676
NCAA BB,41.83166, -71.39765,Brown Bears,#4E3629,#7C2529,234, 358
NCAA BB,40.95690, -76.88604,Bucknell Bison,#E87722,#003865,235,2675
NCAA BB,39.84366, -86.16731,Butler Bulldogs,#13294b,#747678,236, 415
NCAA BB,35.29882,-120.65866,Cal Poly Mustangs,#003831,#FFE395,237,1630
NCAA BB,33.88322,-117.88649,Cal State Fullerton Titans,#00274C,#DC8218,238,  95
NCAA BB,38.56191,-121.42724,California State University Sacramento Hornets,#043927,#c4b581,239, 255
NCAA BB,35.41210, -78.73682,Campbell Camels,#f58025,#231f20,240, 444
NCAA BB,42.92098, -78.85765,Canisius College Golden Griffins,#0C2340,#ffba00,241, 368
NCAA BB,32.48086, -93.72996,Centenary Gentleman,#960A2C,#960A2C,242,1733
NCAA BB,35.08217, -92.45982,Central Arkansas Bears,#4f2d7f,#818a8f,243,1019
