"county","state","lat","long","population"
"Minnehaha","South Dakota",43.6742,-96.7915,191682
"Saginaw","Michigan",43.335,-84.0532,191166
"Livingston","Michigan",42.6029,-83.9115,190832
"Hernando","Florida",28.5535,-82.4245,190700
"El Dorado","California",38.7787,-120.5247,190345
"Beaufort","South Carolina",32.3855,-80.7302,189732
"Butler","Pennsylvania",40.912,-79.9133,187798
"Sumner","Tennessee",36.4694,-86.4604,187680
"Outagamie","Wisconsin",44.4161,-88.4649,186829
"Charlotte","Florida",26.9055,-81.9123,185926
"Sarpy","Nebraska",41.1129,-96.1119,183956
"DeSoto","Mississippi",34.8753,-89.9912,182256
"Vanderburgh","Indiana",38.0249,-87.5859,181548
"Litchfield","Connecticut",41.7925,-73.2453,181143
"Peoria","Illinois",40.788,-89.76,181111
"Kanawha","West Virginia",38.3366,-81.5281,181014
"Imperial","California",33.0395,-115.3653,180580
"Bay","Florida",30.2652,-85.6203,180076
"Pitt","North Carolina",35.5933,-77.3745,179961
"Cass","North Dakota",46.933,-97.248,179937
"Boone","Missouri",38.9906,-92.3097,179704
"Santa Rosa","Florida",30.7004,-87.0219,179587
"Newport News","Virginia",37.1051,-76.5185,179582
"Ellis","Texas",32.3484,-96.7946,179484
"Shasta","California",40.7637,-122.0405,179267
"Kent","Delaware",39.086,-75.5686,179124
"Medina","Ohio",41.1176,-81.8997,179116
"Iredell","North Carolina",35.807,-80.8734,178853
"Ulster","New York",41.8881,-74.2586,178371
"Shawnee","Kansas",39.0415,-95.7565,177293
"Licking","Ohio",40.0916,-82.4831,175409
"Muskegon","Michigan",43.2912,-86.152,173679
"Scott","Iowa",41.6371,-90.6233,172938
"McLean","Illinois",40.4909,-88.8473,172164
"Washington","Utah",37.2804,-113.5048,172127
"Johnson","Texas",32.379,-97.3665,171359
"Midland","Texas",31.8691,-102.0316,171238
"Winnebago","Wisconsin",44.0689,-88.6447,170924
"Aiken","South Carolina",33.5443,-81.6347,169947
"Porter","Indiana",41.4603,-87.0671,169482
"Kenosha","Wisconsin",42.5769,-88.0424,168998
"Monroe","Pennsylvania",41.0581,-75.3395,168824
"Carroll","Maryland",39.5629,-77.0225,168233
"Greene","Ohio",39.6915,-83.8899,167867
"Pueblo","Colorado",38.1735,-104.5127,167412
"Davidson","North Carolina",35.7933,-80.2128,166837
"Hendricks","Indiana",39.7695,-86.51,166806
